"brand","gtin","imageUrl","name","offerDescription","onOffer","price","productUrl","query","scrapedAt","store","unitPrice","unitPriceMeasure","unitSize"
"The",,"https://asdagroceries.scene7.com/is/image/asdagroceries/5052449179705?$ProdList$","The BAKERY at ASDA The Bakery 6 Croissants 240g",,"false","1.78","https://groceries.asda.com/groceries/product/croissants-pain-au-chocolat/the-bakery-at-asda-the-bakery-6-croissants-240g/3573123","croissants","2026-04-10T18:21:45.669Z","asda",,,"240g"
"The",,"https://asdagroceries.scene7.com/is/image/asdagroceries/5054070478936?$ProdList$","The BAKERY at ASDA The Bakery 10 All-Butter Croissants",,"false","2.72","https://groceries.asda.com/groceries/product/croissants-pain-au-chocolat/the-bakery-at-asda-the-bakery-10-all-butter-croissants/4992327","croissants","2026-04-10T18:21:45.669Z","asda",,,
"Exceptional",,"https://asdagroceries.scene7.com/is/image/asdagroceries/5063089499238?$ProdList$","Exceptional by ASDA 4 All-Butter Croissants",,"false","2.38","https://groceries.asda.com/groceries/product/exceptional-breakfast-baked-goods/exceptional-by-asda-4-all-butter-croissants/9137616","croissants","2026-04-10T18:21:45.669Z","asda",,,
"The",,"https://asdagroceries.scene7.com/is/image/asdagroceries/5054070478615?$ProdList$","The BAKERY at ASDA The Bakery 4 All-Butter Croissants",,"false","1.44","https://groceries.asda.com/groceries/product/croissants-pain-au-chocolat/the-bakery-at-asda-the-bakery-4-all-butter-croissants/4836370","croissants","2026-04-10T18:21:45.669Z","asda",,,
"ASDA",,"https://asdagroceries.scene7.com/is/image/asdagroceries/0204450000003?$ProdList$","ASDA Hazelnut Croissant 2pk",,"false","1.52","https://groceries.asda.com/groceries/product/pastries-croissants/asda-hazelnut-croissant-2pk/9088939","croissants","2026-04-10T18:21:45.669Z","asda",,,"2pk"
"ASDA",,"https://asdagroceries.scene7.com/is/image/asdagroceries/20337087?$ProdList$","ASDA British Milk Semi Skimmed 4 Pints",,"false","1.65","https://groceries.asda.com/groceries/product/semi-skimmed-milk/asda-british-milk-semi-skimmed-4-pints/165468","semi skimmed milk","2026-04-10T18:22:07.627Z","asda",,,"4 Pints"
"ASDA",,"https://asdagroceries.scene7.com/is/image/asdagroceries/20411985?$ProdList$","ASDA British Milk Semi Skimmed 2 Pints",,"false","1.2","https://groceries.asda.com/groceries/product/semi-skimmed-milk/asda-british-milk-semi-skimmed-2-pints/538241","semi skimmed milk","2026-04-10T18:22:07.628Z","asda","1.06","per lt","2 Pints"
"ASDA",,"https://asdagroceries.scene7.com/is/image/asdagroceries/20353629?$ProdList$","ASDA British Milk Semi Skimmed 6 Pints",,"false","2.4","https://groceries.asda.com/groceries/product/semi-skimmed-milk/asda-british-milk-semi-skimmed-6-pints/166556","semi skimmed milk","2026-04-10T18:22:07.628Z","asda",,,"6 Pints"
"ASDA",,"https://asdagroceries.scene7.com/is/image/asdagroceries/20394561?$ProdList$","ASDA Northern Irish Semi Skimmed Milk 1 Pint",,"false","0.85","https://groceries.asda.com/groceries/product/semi-skimmed-milk/asda-northern-irish-semi-skimmed-milk-1-pint/165999","semi skimmed milk","2026-04-10T18:22:07.628Z","asda","1.5","per lt","1 Pint"
"Cravendale",,"https://asdagroceries.scene7.com/is/image/asdagroceries/5000181024043?$ProdList$","Cravendale Arla  Filtered Fresh Semi Skimmed Milk 2L Fresher for Longer",,"false","2.5","https://groceries.asda.com/groceries/product/semi-skimmed-milk/cravendale-arla-filtered-fresh-semi-skimmed-milk-2l-fresher-for-longer/489747","semi skimmed milk","2026-04-10T18:22:07.628Z","asda","1.25","per lt","2L"
"The",,"https://asdagroceries.scene7.com/is/image/asdagroceries/5063089837993?$ProdList$","The BAKERY at ASDA The Bakery at  6 Soft White Rolls",,"false","1.24","https://groceries.asda.com/groceries/product/bread-rolls/the-bakery-at-asda-the-bakery-at-6-soft-white-rolls/9245378","burger buns","2026-04-10T18:22:31.209Z","asda",,,
"The",,"https://asdagroceries.scene7.com/is/image/asdagroceries/5063089799116?$ProdList$","The BAKERY at ASDA The Bakery at  6 Scotch White Rolls",,"false","1.24","https://groceries.asda.com/groceries/product/bread-rolls/the-bakery-at-asda-the-bakery-at-6-scotch-white-rolls/9246947","burger buns","2026-04-10T18:22:31.209Z","asda",,,
