brand,imageUrl,name,offerDescription,onOffer,price,productUrl,query,scrapedAt,store,unitPrice,unitPriceMeasure,unitSize,productId,price_per_100,unit_price,name_clean
COWBELLE,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/cf896a43-3b9a-4396-97d3-86ffba627c76/Whole%20Milk%203.6%25%20Fat,Whole Milk 3.6% Fat,,False,1.65,https://www.aldi.co.uk/product/cowbelle-whole-milk-3-6-fat-000000000000416772,whole milk,2026-04-10T17:57:56.997Z,aldi,0.73,per 1 L,2.272 L,,0.073,0.73,Whole Milk 3.6% Fat
COWBELLE,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/2b00d045-24dd-4612-b27e-4ff72888ac4a/Filtered%20British%20Whole%20Milk,Filtered British Whole Milk,,False,1.75,https://www.aldi.co.uk/product/cowbelle-filtered-british-whole-milk-000000000000423400,whole milk,2026-04-10T17:57:56.997Z,aldi,0.88,per 1 L,2 L,,0.088,0.88,Filtered British Whole Milk
COWBELLE,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/6b81977c-9bc2-4837-987e-be9f5f7f8a09/British%20Whole%20Milk%203.7%25%20Fat,British Whole Milk 3.7% Fat,,False,1.2,https://www.aldi.co.uk/product/cowbelle-british-whole-milk-3-7-fat-000000000417019001,whole milk,2026-04-10T17:57:56.997Z,aldi,1.06,per 1 L,1.136 L,,0.10600000000000001,1.06,British Whole Milk 3.7% Fat
COWBELLE,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/5c1acaf4-5c0d-4741-888b-5df17e8898b7/British%20Whole%20Milk%203.7%25%20Fat,British Whole Milk 3.7% Fat,,False,0.85,https://www.aldi.co.uk/product/cowbelle-british-whole-milk-3-7-fat-000000000417493001,whole milk,2026-04-10T17:57:56.997Z,aldi,1.5,per 1 L,0.568 L,,0.15,1.5,British Whole Milk 3.7% Fat
THE FOODIE MARKET,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/608e8668-b435-44b2-878e-7c24001f5be7/Whole%20Almonds,Whole Almonds,Was £1.75,True,1.69,https://www.aldi.co.uk/product/the-foodie-market-whole-almonds-000000000000384091,whole milk,2026-04-10T17:57:56.997Z,aldi,8.45,per 1 KG,0.2 KG,,0.845,8.45,Whole Almonds
COWBELLE,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/ac801d8b-1277-411d-9f97-f13a805607a6/UHT%20Semi%20Skimmed%20Milk,UHT Semi Skimmed Milk,,False,0.99,https://www.aldi.co.uk/product/cowbelle-uht-semi-skimmed-milk-000000000000416563,semi skimmed milk,2026-04-10T17:57:57.367Z,aldi,0.99,per 1 L,1 L,,0.099,0.99,UHT Semi Skimmed Milk
COWBELLE,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/fa1bf699-a7a0-40fe-9362-1ce0e46f7434/Semi%20Skimmed%20Milk%201.7%25%20Fat,Semi Skimmed Milk 1.7% Fat,,False,2.4,https://www.aldi.co.uk/product/cowbelle-semi-skimmed-milk-1-7-fat-000000000000416713,semi skimmed milk,2026-04-10T17:57:57.367Z,aldi,0.7,per 1 L,3.408 L,,0.06999999999999999,0.7,Semi Skimmed Milk 1.7% Fat
COWBELLE,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/c8b92940-471c-4eff-934e-2776c1b922fb/Semi%20Skimmed%20Milk%201.7%25%20Fat,Semi Skimmed Milk 1.7% Fat,,False,1.65,https://www.aldi.co.uk/product/cowbelle-semi-skimmed-milk-1-7-fat-000000000000416770,semi skimmed milk,2026-04-10T17:57:57.367Z,aldi,0.73,per 1 L,2.272 L,,0.073,0.73,Semi Skimmed Milk 1.7% Fat
COWBELLE,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/fb259109-9f17-403f-83f8-15a183c4cba5/Filtered%20British%20Semi%20Skimmed%20Milk,Filtered British Semi Skimmed Milk,,False,1.75,https://www.aldi.co.uk/product/cowbelle-filtered-british-semi-skimmed-milk-000000000000417584,semi skimmed milk,2026-04-10T17:57:57.367Z,aldi,0.88,per 1 L,2 L,,0.088,0.88,Filtered British Semi Skimmed Milk
COWBELLE,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/126b843a-42b1-4eff-bb02-704aa64bf8f7/Organic%20Semi%20Skimmed%20Milk%201.7%25%20Fat,Organic Semi Skimmed Milk 1.7% Fat,,False,2.09,https://www.aldi.co.uk/product/cowbelle-organic-semi-skimmed-milk-1-7-fat-000000000000423466,semi skimmed milk,2026-04-10T17:57:57.368Z,aldi,0.92,per 1 L,2.272 L,,0.092,0.92,Organic Semi Skimmed Milk 1.7% Fat
COWBELLE,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/ac801d8b-1277-411d-9f97-f13a805607a6/UHT%20Semi%20Skimmed%20Milk,UHT Semi Skimmed Milk,,False,0.99,https://www.aldi.co.uk/product/cowbelle-uht-semi-skimmed-milk-000000000000416563,skimmed milk,2026-04-10T17:58:03.383Z,aldi,0.99,per 1 L,1 L,,0.099,0.99,UHT Semi Skimmed Milk
COWBELLE,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/d5a9ef42-80e2-4dce-a6f2-759326efd0b7/UHT%20Red%20Skimmed%20Milk,UHT Red Skimmed Milk,,False,0.99,https://www.aldi.co.uk/product/cowbelle-uht-red-skimmed-milk-000000000000416564,skimmed milk,2026-04-10T17:58:03.383Z,aldi,0.99,per 1 L,1 L,,0.099,0.99,UHT Red Skimmed Milk
COWBELLE,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/0fdfa0f4-3845-46af-94f6-9dc8bf11d285/Skimmed%20Milk%200.5%25%20Fat,Skimmed Milk <0.5% Fat,,False,1.65,https://www.aldi.co.uk/product/cowbelle-skimmed-milk-0-5-fat-000000000000416864,skimmed milk,2026-04-10T17:58:03.383Z,aldi,0.73,per 1 L,2.272 L,,0.073,0.73,Skimmed Milk <0.5% Fat
COWBELLE,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/fa1bf699-a7a0-40fe-9362-1ce0e46f7434/Semi%20Skimmed%20Milk%201.7%25%20Fat,Semi Skimmed Milk 1.7% Fat,,False,2.4,https://www.aldi.co.uk/product/cowbelle-semi-skimmed-milk-1-7-fat-000000000000416713,skimmed milk,2026-04-10T17:58:03.383Z,aldi,0.7,per 1 L,3.408 L,,0.06999999999999999,0.7,Semi Skimmed Milk 1.7% Fat
COWBELLE,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/c8b92940-471c-4eff-934e-2776c1b922fb/Semi%20Skimmed%20Milk%201.7%25%20Fat,Semi Skimmed Milk 1.7% Fat,,False,1.65,https://www.aldi.co.uk/product/cowbelle-semi-skimmed-milk-1-7-fat-000000000000416770,skimmed milk,2026-04-10T17:58:03.383Z,aldi,0.73,per 1 L,2.272 L,,0.073,0.73,Semi Skimmed Milk 1.7% Fat
EVERYDAY ESSENTIALS,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/7d68d27d-a19b-45b1-be0a-415b05426de0/Low%20Fat%20Cottage%20Cheese,Low Fat Cottage Cheese,,False,0.89,https://www.aldi.co.uk/product/everyday-essentials-low-fat-cottage-cheese-000000000000416217,cottage cheese,2026-04-10T17:58:04.550Z,aldi,2.97,per 1 KG,0.3 KG,,0.29700000000000004,2.97,Low Fat Cottage Cheese
EMPORIUM,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/d6876544-f565-4a4f-89a8-cbe227130494/Full%20Fat%20Plain%20Cottage%20Cheese,Full Fat Plain Cottage Cheese,,False,1.39,https://www.aldi.co.uk/product/emporium-full-fat-plain-cottage-cheese-000000000422469001,cottage cheese,2026-04-10T17:58:04.550Z,aldi,4.63,per 1 KG,0.3 KG,,0.46299999999999997,4.63,Full Fat Plain Cottage Cheese
EMPORIUM,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/55111026-d2e8-4505-8961-65fe7e997572/Fat%20Free%20Plain%20Cottage%20Cheese,Fat Free Plain Cottage Cheese,,False,1.39,https://www.aldi.co.uk/product/emporium-fat-free-plain-cottage-cheese-000000000422469002,cottage cheese,2026-04-10T17:58:04.550Z,aldi,4.63,per 1 KG,0.3 KG,,0.46299999999999997,4.63,Fat Free Plain Cottage Cheese
CRESTWOOD,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/aa1bf61d-fb96-4706-95bf-75db85a1e3c7/Cottage%20Pie,Cottage Pie,,False,5.49,https://www.aldi.co.uk/product/crestwood-cottage-pie-000000000000405555,cottage cheese,2026-04-10T17:58:04.550Z,aldi,4.58,per 1 KG,1.2 KG,,0.458,4.58,Cottage Pie
SPECIALLY SELECTED,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/940ff38c-5a61-4902-9fb7-993c0fa3787b/Cottage%20Pie,Cottage Pie,Was £5.49,True,4.99,https://www.aldi.co.uk/product/specially-selected-cottage-pie-000000000403439001,cottage cheese,2026-04-10T17:58:04.550Z,aldi,6.24,per 1 KG,0.8 KG,,0.624,6.24,Cottage Pie
MEREVALE,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/48bac52d-70a2-44da-bbe6-2e5ec382ec62/Free%20Range%20Eggs%206%20Pack,Free Range Eggs 6 Pack,,False,0.99,https://www.aldi.co.uk/product/merevale-free-range-eggs-6-pack-000000000000548465,free range eggs,2026-04-10T17:58:14.866Z,aldi,0.17,per 1 Each,6 Each,,,0.17,Free Range Eggs 6 Pack
MEREVALE,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/01ca41a4-98a4-44db-8ca6-ecea88de494d/British%20Large%20Free%20Range%20Eggs%206%20Pack,British Large Free Range Eggs 6 Pack,,False,1.79,https://www.aldi.co.uk/product/merevale-british-large-free-range-eggs-6-pack-000000000000416688,free range eggs,2026-04-10T17:58:14.866Z,aldi,0.3,per 1 Each,6 Each,,,0.3,British Large Free Range Eggs 6 Pack
MEREVALE,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/5a12d16b-7c31-4f4a-be67-fcc7a0caeb0c/British%20Medium%20Free%20Range%20Eggs%206%20Pack,British Medium Free Range Eggs 6 Pack,,False,1.55,https://www.aldi.co.uk/product/merevale-british-medium-free-range-eggs-6-pack-000000000000416701,free range eggs,2026-04-10T17:58:14.866Z,aldi,0.26,per 1 Each,6 Each,,,0.26,British Medium Free Range Eggs 6 Pack
MEREVALE,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/f5fd44cf-aaf4-40ce-bc79-183829ddb3d6/British%20Large%20Free%20Range%20Eggs%20%2012%20Pack,British Large Free Range Eggs  12 Pack,,False,2.89,https://www.aldi.co.uk/product/merevale-british-large-free-range-eggs-12-pack-000000000000417009,free range eggs,2026-04-10T17:58:14.866Z,aldi,0.24,per 1 Each,12 Each,,,0.24,British Large Free Range Eggs  12 Pack
