name,name_clean,store,price,price_per_100,query,brand
Whole Milk 3.6% Fat,Whole Milk 3.6% Fat,aldi,1.65,0.073,whole milk,COWBELLE
Filtered British Whole Milk,Filtered British Whole Milk,aldi,1.75,0.088,whole milk,COWBELLE
British Whole Milk 3.7% Fat,British Whole Milk 3.7% Fat,aldi,1.2,0.106,whole milk,COWBELLE
British Whole Milk 3.7% Fat,British Whole Milk 3.7% Fat,aldi,0.85,0.15,whole milk,COWBELLE
Whole Almonds,Whole Almonds,aldi,1.69,0.845,whole milk,THE FOODIE MARKET
UHT Semi Skimmed Milk,UHT Semi Skimmed Milk,aldi,0.99,0.099,semi skimmed milk,COWBELLE
Semi Skimmed Milk 1.7% Fat,Semi Skimmed Milk 1.7% Fat,aldi,2.4,0.0699999999999999,semi skimmed milk,COWBELLE
Semi Skimmed Milk 1.7% Fat,Semi Skimmed Milk 1.7% Fat,aldi,1.65,0.073,semi skimmed milk,COWBELLE
Filtered British Semi Skimmed Milk,Filtered British Semi Skimmed Milk,aldi,1.75,0.088,semi skimmed milk,COWBELLE
Organic Semi Skimmed Milk 1.7% Fat,Organic Semi Skimmed Milk 1.7% Fat,aldi,2.09,0.092,semi skimmed milk,COWBELLE
UHT Semi Skimmed Milk,UHT Semi Skimmed Milk,aldi,0.99,0.099,skimmed milk,COWBELLE
UHT Red Skimmed Milk,UHT Red Skimmed Milk,aldi,0.99,0.099,skimmed milk,COWBELLE
Skimmed Milk <0.5% Fat,Skimmed Milk <0.5% Fat,aldi,1.65,0.073,skimmed milk,COWBELLE
Semi Skimmed Milk 1.7% Fat,Semi Skimmed Milk 1.7% Fat,aldi,2.4,0.0699999999999999,skimmed milk,COWBELLE
Semi Skimmed Milk 1.7% Fat,Semi Skimmed Milk 1.7% Fat,aldi,1.65,0.073,skimmed milk,COWBELLE
Low Fat Cottage Cheese,Low Fat Cottage Cheese,aldi,0.89,0.297,cottage cheese,EVERYDAY ESSENTIALS
Full Fat Plain Cottage Cheese,Full Fat Plain Cottage Cheese,aldi,1.39,0.4629999999999999,cottage cheese,EMPORIUM
Fat Free Plain Cottage Cheese,Fat Free Plain Cottage Cheese,aldi,1.39,0.4629999999999999,cottage cheese,EMPORIUM
Cottage Pie,Cottage Pie,aldi,5.49,0.458,cottage cheese,CRESTWOOD
Cottage Pie,Cottage Pie,aldi,4.99,0.624,cottage cheese,SPECIALLY SELECTED
Free Range Eggs 6 Pack,Free Range Eggs 6 Pack,aldi,0.99,,free range eggs,MEREVALE
British Large Free Range Eggs 6 Pack,British Large Free Range Eggs 6 Pack,aldi,1.79,,free range eggs,MEREVALE
British Medium Free Range Eggs 6 Pack,British Medium Free Range Eggs 6 Pack,aldi,1.55,,free range eggs,MEREVALE
British Large Free Range Eggs  12 Pack,British Large Free Range Eggs  12 Pack,aldi,2.89,,free range eggs,MEREVALE
British Medium Free Range Eggs 12 Pack,British Medium Free Range Eggs 12 Pack,aldi,2.49,,free range eggs,MEREVALE
No Sugars Oat Drink,No Sugars Oat Drink,aldi,1.09,0.109,oat milk,ACTILEAF
Barista Style Oat Drink,Barista Style Oat Drink,aldi,1.25,0.125,oat milk,ACTILEAF
Milk Almond Chocolate,Milk Almond Chocolate,aldi,2.25,1.125,almond milk,CHOCEUR
UHT Unsweetened Almond Drink,UHT Unsweetened Almond Drink,aldi,0.99,0.099,almond milk,ACTILEAF
Milk Chocolate Almonds & Honey Swiss Mountain Bar,Milk Chocolate Almonds & Honey Swiss Mountain Bar,aldi,0.99,0.99,almond milk,SPECIALLY SELECTED
Brown Onions,Brown Onions,aldi,0.99,0.099,brown onions,NATURE'S PICK
Large Brown Onions,Large Brown Onions,aldi,0.95,,brown onions,NATURE'S PICK
British Wonky Brown Onions,British Wonky Brown Onions,aldi,0.8,0.08,brown onions,EVERYDAY ESSENTIALS
Brown Rice,Brown Rice,aldi,1.39,0.1389999999999999,brown onions,WORLDWIDE FOODS
British Medium Free Range Eggs 6 Pack,British Medium Free Range Eggs 6 Pack,aldi,1.55,,medium eggs,MEREVALE
British Medium Free Range Eggs 12 Pack,British Medium Free Range Eggs 12 Pack,aldi,2.49,,medium eggs,MEREVALE
Avocado Medium,Avocado Medium,aldi,0.69,,medium eggs,NATURE'S PICK
Medium Whole Chicken,Medium Whole Chicken,aldi,4.25,0.274,medium eggs,ASHFIELDS
Medium Mixed Bouquet,Medium Mixed Bouquet,aldi,3.99,,medium eggs,BEAUTIFUL BLOOMS
Red Onions,Red Onions,aldi,0.95,0.095,red onions,NATURE'S PICK
Large Red Onions,Large Red Onions,aldi,0.95,,red onions,NATURE'S PICK
Caramelised Red Onion Chutney,Caramelised Red Onion Chutney,aldi,1.89,0.61,red onions,SPECIALLY SELECTED
Red Onion Baking Camembert,Red Onion Baking Camembert,aldi,2.49,0.889,red onions,SPECIALLY SELECTED
Caramelised Red Onion Flavoured Pork Burgers,Caramelised Red Onion Flavoured Pork Burgers,aldi,1.99,0.663,red onions,SPECIALLY SELECTED
Dark Soy Sauce,Dark Soy Sauce,aldi,0.55,0.367,soy milk,ASIA SPECIALITIES
